Store_ID,subprovince,Title,URL,Competitor
82015,HCM,Dominos - HUYNH TAN PHAT 2,"https://www.google.com/maps/place/Domino's+Pizza+1108+Hu%E1%BB%B3nh+T%E1%BA%A5n+Ph%C3%A1t/@10.7216458,106.7360133,17z/data=!4m8!3m7!1s0x317525357669f24d:0x3aef791ff351bc1!8m2!3d10.7216458!4d106.7360133!9m1!1b1!16s%2Fg%2F11ftmj7msv?authuser=0&hl=vi&entry=ttu&hl=vi",Domino
82013,HCM,Dominos - LE VAN KHUONG,"https://www.google.com/maps/place/Domino's+Pizza+L%C3%AA+V%C4%83n+Kh%C6%B0%C6%A1ng/@10.8699798,106.6465552,17z/data=!4m8!3m7!1s0x317529b421cb3027:0x5a2a30403562cb79!8m2!3d10.8699745!4d106.6491301!9m1!1b1!16s%2Fg%2F11jfs6dbjh?authuser=0&hl=vi&entry=ttu&hl=vi",Domino
82060,HCM,Dominos - PHAM HONG THAI,"https://www.google.com/maps/place/Domino's/@10.7713749,106.693471,17z/data=!4m8!3m7!1s0x31752fe9a6de6867:0xc9e48ba9246989ea!8m2!3d10.7713696!4d106.6960459!9m1!1b1!16s%2Fg%2F11mth6cd1l?authuser=0&hl=vi&entry=ttu&hl=vi",Domino
82019,HCM,Dominos - NGUYEN THI TU,"https://www.google.com/maps/place/Domino's+Pizza+Nguy%E1%BB%85n+Th%E1%BB%8B+T%C3%BA/@10.8144419,106.5795191,17z/data=!4m8!3m7!1s0x31752b7904cbfa97:0x691eda4c8374c553!8m2!3d10.8144366!4d106.582094!9m1!1b1!16s%2Fg%2F11lkmty1cv?authuser=0&hl=vi&entry=ttu&hl=vi",Domino
82032,HCM,Dominos - THONG NHAT,"https://www.google.com/maps/place/Domino's+Pizza+Th%E1%BB%91ng+Nh%E1%BA%A5t/@10.8349897,106.6621037,17z/data=!4m8!3m7!1s0x317529dfc8a0fce7:0x78bd8d9d64897277!8m2!3d10.8349844!4d106.6646786!9m1!1b1!16s%2Fg%2F11nnz1qp1_?authuser=0&hl=vi&entry=ttu&hl=vi",Domino
81991,HCM,Dominos - HAU GIANG,"https://www.google.com/maps/place/Domino%E2%80%99s+Pizza/@10.7496412,106.6409348,17z/data=!4m8!3m7!1s0x31752e88218d54a3:0xcb564259cea891c2!8m2!3d10.7496359!4d106.6435097!9m1!1b1!16s%2Fg%2F11f_zn748y?authuser=0&hl=vi&entry=ttu&hl=vi",Domino
82003,HCM,Dominos - CN1,"https://www.google.com/maps/place/Domino's+Pizza+%C4%90%C6%B0%E1%BB%9Dng+CN1/@10.80568,106.6060992,17z/data=!4m8!3m7!1s0x31752bead26596b1:0x231c1d0e91266049!8m2!3d10.8056747!4d106.6086741!9m1!1b1!16s%2Fg%2F11v07bsz_v?authuser=0&hl=vi&entry=ttu&hl=vi",Domino
81993,HCM,DOMINOS - NGUYEN VAN TANG,"https://www.google.com/maps/place/Domino's+Pizza+Nguy%E1%BB%85n+V%C4%83n+T%C4%83ng/@10.8413972,106.8208502,17z/data=!4m8!3m7!1s0x317521da214a9221:0x5aecc55cd9bc028b!8m2!3d10.8413919!4d106.8234251!9m1!1b1!16s%2Fg%2F11y1_3gkgj?authuser=0&hl=vi&entry=ttu&hl=vi",Domino
82027,HN,Dominos - 4 SEASON HA NOI,"https://www.google.com/maps/place/Domino's+Pizza+H%C3%A0ng+Gai/@21.0322389,105.8505593,19z/data=!4m8!3m7!1s0x3135abfd19f8cab9:0xb44d9a02018cafc3!8m2!3d21.0322376!4d105.851203!9m1!1b1!16s%2Fg%2F11j3x7__dr?authuser=0&hl=vi&entry=ttu&hl=vi",Domino
82024,HN,Dominos - TRUNG KINH HA NOI,"https://www.google.com/maps/place/Domino's+Pizza+Trung+K%C3%ADnh/@21.0153577,105.7924629,17z/data=!4m8!3m7!1s0x3135ab7e14848ddb:0x972565e64505524a!8m2!3d21.0153527!4d105.7950378!9m1!1b1!16s%2Fg%2F11h62wzxzp?authuser=0&hl=vi&entry=ttu&hl=vi",Domino
82029,HN,Dominos - TO HIEN THANH,"https://www.google.com/maps/place/Domino's+Pizza+T%C3%B4+Hi%E1%BA%BFn+Th%C3%A0nh/@21.0136345,105.8485758,17z/data=!4m18!1m9!3m8!1s0x3135ab8ca21d5a61:0x6a34e57b77b44db8!2zRG9taW5vJ3MgUGl6emEgVMO0IEhp4bq_biBUaMOgbmg!8m2!3d21.0136295!4d105.8511507!9m1!1b1!16s%2Fg%2F11b6hgd3rz!3m7!1s0x3135ab8ca21d5a61:0x6a34e57b77b44db8!8m2!3d21.0136295!4d105.8511507!9m1!1b1!16s%2Fg%2F11b6hgd3rz?authuser=0&hl=vi&entry=ttu&hl=vi",Domino
82030,HN,Dominos - GIANG VO,"https://www.google.com/maps/place/Domino's+Pizza+Gi%E1%BA%A3ng+V%C3%B5/@21.026872,105.8208132,17z/data=!4m8!3m7!1s0x3135ab8c3563d419:0xd2bc3f16640cf40a!8m2!3d21.026867!4d105.8233881!9m1!1b1!16s%2Fg%2F11fmsf7fy8?authuser=0&hl=vi&entry=ttu&hl=vi",Domino
